,task_source,task_target,method,mae,r2,random_state
2,rest,passive,align_recenter,11.259609535566979,0.42665625966382337,93016
3,rest,passive,align_recenter_rescale,10.616606365311902,0.4655372385215779,93016
4,rest,passive,align_procrustes_paired,8.516652632431294,0.6491674119809064,93016
5,rest,passive,dummy,16.013400936037442,0.0,93016
0,rest,passive,no_alignment,17.87999486272272,-0.2729177309953623,25658
1,rest,passive,align_z_score,12.053825922018106,0.3600298179072101,25658
2,rest,passive,align_recenter,10.226058086571888,0.5262890677829278,25658
3,rest,passive,align_recenter_rescale,12.266614658683219,0.2968534507746501,25658
4,rest,passive,align_procrustes_paired,8.888774677459113,0.6134287109244816,25658
5,rest,passive,dummy,15.878268330733228,0.0,25658
0,rest,passive,no_alignment,21.43281820536073,-0.7621235538497004,84478
1,rest,passive,align_z_score,10.24512235007912,0.52363552366383,84478
2,rest,passive,align_recenter,10.950905504411878,0.4667588818907199,84478
3,rest,passive,align_recenter_rescale,10.5473529365456,0.49863871719831043,84478
4,rest,passive,align_procrustes_paired,7.727780075183318,0.7262832666253245,84478
5,rest,passive,dummy,15.994056162246487,0.0,84478
0,rest,passive,no_alignment,14.962414359130868,0.0021982628762099443,18431
1,rest,passive,align_z_score,10.389734779710803,0.44847214025296633,18431
2,rest,passive,align_recenter,10.476764207592893,0.4861557027496083,18431
3,rest,passive,align_recenter_rescale,9.635874724096317,0.5676644731985447,18431
4,rest,passive,align_procrustes_paired,7.541908511389117,0.7162093324473358,18431
5,rest,passive,dummy,15.73638065522621,0.0,18431
0,rest,passive,no_alignment,22.41088053053736,-0.9832881050091762,2747
1,rest,passive,align_z_score,9.775316173064834,0.5678384808066159,2747
2,rest,passive,align_recenter,11.071671337598753,0.4690471779574492,2747
3,rest,passive,align_recenter_rescale,10.20792390634301,0.517308189872507,2747
4,rest,passive,align_procrustes_paired,7.929912329597791,0.6807321498351653,2747
5,rest,passive,dummy,15.882137285491421,0.0,2747
0,rest,passive,no_alignment,20.27986596487073,-0.6066259573099089,59150
1,rest,passive,align_z_score,10.271806611361189,0.5202084475288065,59150
2,rest,passive,align_recenter,10.667267481649462,0.4975720673787901,59150
3,rest,passive,align_recenter_rescale,9.129610145070785,0.6082927302392585,59150
4,rest,passive,align_procrustes_paired,6.905105541743328,0.7793088907359783,59150
5,rest,passive,dummy,15.737722308892357,0.0,59150
0,rest,passive,no_alignment,20.636395323111536,-0.6827002178701589,65725
1,rest,passive,align_z_score,9.6839461962356,0.5703399461093035,65725
2,rest,passive,align_recenter,10.124648881413021,0.539554532425681,65725
3,rest,passive,align_recenter_rescale,10.053898428859183,0.5409049232983113,65725
4,rest,passive,align_procrustes_paired,7.4159696087997915,0.7345400343860758,65725
5,rest,passive,dummy,15.911123244929795,0.0,65725
0,rest,passive,no_alignment,17.219453674145083,-0.22155027878011357,84654
1,rest,passive,align_z_score,9.630406050161938,0.5906451592303963,84654
2,rest,passive,align_recenter,9.452482081003536,0.5999268998333283,84654
3,rest,passive,align_recenter_rescale,8.610725900161178,0.6588841019057288,84654
4,rest,passive,align_procrustes_paired,6.684127577648821,0.7795611764256971,84654
5,rest,passive,dummy,15.84842433697348,0.0,84654
0,rest,passive,no_alignment,16.18777574534816,-0.10378275891096345,35773
1,rest,passive,align_z_score,11.608617911221634,0.40548709735190847,35773
2,rest,passive,align_recenter,11.137524267882041,0.4210569291913534,35773
3,rest,passive,align_recenter_rescale,10.261522552459654,0.5023085441245885,35773
