,task_source,task_target,method,mae,r2,random_state
4,rest,passive,align_procrustes_paired,5.580983363034574,0.8033433577855029,67435
5,rest,passive,dummy,15.894399375975041,0.0,67435
0,rest,passive,no_alignment,9.149655257583962,0.637678773724506,56886
1,rest,passive,align_z_score,8.00961999495822,0.7241125836103459,56886
2,rest,passive,align_recenter,7.380150609307376,0.7615948153878956,56886
3,rest,passive,align_recenter_rescale,7.237512311420027,0.7717276541141888,56886
4,rest,passive,align_procrustes_paired,6.179771023277438,0.6663834680609899,56886
5,rest,passive,dummy,15.916599063962558,0.0,56886
0,rest,passive,no_alignment,8.717779263232421,0.6692133206288058,66803
1,rest,passive,align_z_score,8.011620223892235,0.7041689926629968,66803
2,rest,passive,align_recenter,7.52883688814821,0.7420588250656812,66803
3,rest,passive,align_recenter_rescale,7.456206356689401,0.7487518335486099,66803
4,rest,passive,align_procrustes_paired,5.325556817840781,0.7855377690191637,66803
5,rest,passive,dummy,15.919407176287052,0.0,66803
0,rest,passive,no_alignment,8.285917927128022,0.707483186206739,31551
1,rest,passive,align_z_score,7.910923416334522,0.7167566772935421,31551
2,rest,passive,align_recenter,7.222329672619979,0.7591484319977109,31551
3,rest,passive,align_recenter_rescale,7.207520541761797,0.7624433290627344,31551
4,rest,passive,align_procrustes_paired,4.516649506084151,0.906147052007625,31551
5,rest,passive,dummy,15.753525741029641,0.0,31551
0,rest,passive,no_alignment,8.794488625933154,0.6481942222888576,11394
1,rest,passive,align_z_score,8.710835628932537,0.6725641888618,11394
2,rest,passive,align_recenter,7.867893636323665,0.7237312597372216,11394
3,rest,passive,align_recenter_rescale,7.586552900284022,0.7424983125324329,11394
4,rest,passive,align_procrustes_paired,5.464754828121447,0.7970573899981508,11394
5,rest,passive,dummy,15.794087363494537,0.0,11394
0,rest,passive,no_alignment,8.183969853928113,0.70905385423554,69092
1,rest,passive,align_z_score,7.673551659697671,0.7325592822676484,69092
2,rest,passive,align_recenter,7.219788622574178,0.7649111479535424,69092
3,rest,passive,align_recenter_rescale,7.128976655200947,0.7750217705375043,69092
4,rest,passive,align_procrustes_paired,5.727249111718242,0.7411411301657045,69092
5,rest,passive,dummy,15.856833073322932,0.0,69092
