,scenario,parameter,method,mae,r2,random_state
25,Recenter,1.5,align_procrustes_paired,0.00035736872856383,0.99999987576444,5390
26,Recenter,1.5,align_procrustes,0.0033254185389371203,0.9999889625942314,5390
27,Recenter,1.5,dummy,1.0,0.0,5390
28,Recenter,2.0,no_alignment,2.552525082947592,-3.3690224461125764,5390
29,Recenter,2.0,align_z_score,5.307072152813425,-17.46802456322811,5390
30,Recenter,2.0,align_recenter,0.07399711435019554,0.9943514144883366,5390
31,Recenter,2.0,align_recenter_rescale,0.07399711435026102,0.994351414488326,5390
32,Recenter,2.0,align_procrustes_paired,0.0003573687285924268,0.99999987576444,5390
33,Recenter,2.0,align_procrustes,0.003325418538984591,0.9999889625942314,5390
34,Recenter,2.0,dummy,1.0,0.0,5390
0,Recenter,0.0,no_alignment,0.0003089278288648659,0.9999999037152375,5191
1,Recenter,0.0,align_z_score,0.05265722850060813,0.9968940795823139,5191
2,Recenter,0.0,align_recenter,0.00030892782886622405,0.9999999037152375,5191
3,Recenter,0.0,align_recenter_rescale,0.00030892782886728386,0.9999999037152375,5191
4,Recenter,0.0,align_procrustes_paired,0.0003089278288662518,0.9999999037152375,5191
5,Recenter,0.0,align_procrustes,0.003326701063074827,0.9999889625942319,5191
6,Recenter,0.0,dummy,1.0,0.0,5191
7,Recenter,0.5,no_alignment,0.6053021171961863,0.6752249442874955,5191
8,Recenter,0.5,align_z_score,0.4737949191187449,0.799921008654947,5191
9,Recenter,0.5,align_recenter,0.009908853739585749,0.9998903666495292,5191
10,Recenter,0.5,align_recenter_rescale,0.009908853739582085,0.9998903666495293,5191
11,Recenter,0.5,align_procrustes_paired,0.0003089278288656699,0.9999999037152375,5191
12,Recenter,0.5,align_procrustes,0.003326701063073556,0.9999889625942318,5191
13,Recenter,0.5,dummy,1.0,0.0,5191
14,Recenter,1.0,no_alignment,1.3316872353718092,-0.38530251705500085,5191
15,Recenter,1.0,align_z_score,1.0326401038478599,0.16324802657877835,5191
16,Recenter,1.0,align_recenter,0.025185015839076678,0.9992927397313355,5191
17,Recenter,1.0,align_recenter_rescale,0.025185015839061912,0.9992927397313365,5191
18,Recenter,1.0,align_procrustes_paired,0.0003089278288492957,0.9999999037152375,5191
19,Recenter,1.0,align_procrustes,0.0033267010630705775,0.9999889625942319,5191
20,Recenter,1.0,dummy,1.0,0.0,5191
21,Recenter,1.5,no_alignment,1.8238180282391938,-1.5058705336992126,5191
22,Recenter,1.5,align_z_score,1.539603349185041,-0.7554827252076979,5191
23,Recenter,1.5,align_recenter,0.0468913810689626,0.9975282523925589,5191
24,Recenter,1.5,align_recenter_rescale,0.04689138106893531,0.9975282523925622,5191
25,Recenter,1.5,align_procrustes_paired,0.0003089278288217396,0.9999999037152375,5191
26,Recenter,1.5,align_procrustes,0.003326701063076283,0.9999889625942319,5191
27,Recenter,1.5,dummy,1.0,0.0,5191
28,Recenter,2.0,no_alignment,2.1889846476861674,-2.545107483297479,5191
29,Recenter,2.0,align_z_score,2.0211104088080627,-1.9316950016443473,5191
30,Recenter,2.0,align_recenter,0.07285676611005087,0.9940171738891384,5191
31,Recenter,2.0,align_recenter_rescale,0.07285676611000845,0.9940171738891451,5191
32,Recenter,2.0,align_procrustes_paired,0.00030892782879540185,0.9999999037152375,5191
33,Recenter,2.0,align_procrustes,0.0033267010630937256,0.9999889625942319,5191
34,Recenter,2.0,dummy,1.0,0.0,5191
0,Recenter,0.0,no_alignment,0.00033388008258757946,0.9999998858320307,5734
1,Recenter,0.0,align_z_score,0.055272581327278414,0.9967773179944781,5734
2,Recenter,0.0,align_recenter,0.0003338800825847403,0.9999998858320307,5734
3,Recenter,0.0,align_recenter_rescale,0.000333880082588083,0.9999998858320307,5734
4,Recenter,0.0,align_procrustes_paired,0.00033388008258892175,0.9999998858320307,5734
5,Recenter,0.0,align_procrustes,0.0033222591355365053,0.9999889625942316,5734
6,Recenter,0.0,dummy,1.0,0.0,5734
7,Recenter,0.5,no_alignment,0.3335414430182673,0.8886537831677543,5734
8,Recenter,0.5,align_z_score,0.4496945612021336,0.8313437518783682,5734
9,Recenter,0.5,align_recenter,0.011820071140604326,0.9998496350068258,5734
10,Recenter,0.5,align_recenter_rescale,0.011820071140609175,0.9998496350068257,5734
11,Recenter,0.5,align_procrustes_paired,0.00033388008256848004,0.9999998858320307,5734
12,Recenter,0.5,align_procrustes,0.0033222591355144136,0.9999889625942316,5734
13,Recenter,0.5,dummy,1.0,0.0,5734
14,Recenter,1.0,no_alignment,0.5998564344818716,0.6671832683628084,5734
15,Recenter,1.0,align_z_score,0.37236846442498883,0.8455919293596228,5734
16,Recenter,1.0,align_recenter,0.02483770610997681,0.9993403824704321,5734
17,Recenter,1.0,align_recenter_rescale,0.024837706109988776,0.9993403824704316,5734
18,Recenter,1.0,align_procrustes_paired,0.00033388008254409634,0.9999998858320307,5734
19,Recenter,1.0,align_procrustes,0.003322259135644304,0.9999889625942316,5734
