,scenario,parameter,method,mae,r2,random_state
26,Recenter,1.5,align_procrustes_paired,0.0031596403997241813,0.9999898783992136,5191
27,Recenter,1.5,dummy,1.0,-0.005435970743461027,5191
28,Recenter,2.0,no_alignment,1.284404050749427,-0.5425927833770123,5191
29,Recenter,2.0,align_z_score,4.7939434952918285,-14.353718505556364,5191
30,Recenter,2.0,align_recenter,0.22497847122140763,0.923269705423819,5191
31,Recenter,2.0,align_recenter_rescale,0.08988156400263433,0.9904810908033133,5191
32,Recenter,2.0,align_procrustes,0.193477701606002,0.9609526896348091,5191
33,Recenter,2.0,align_procrustes_paired,0.0031596403998158285,0.9999898783992143,5191
34,Recenter,2.0,dummy,1.0,-0.005435970743461027,5191
0,Recenter,0.0,no_alignment,0.0034562595127701407,0.999988301518957,5734
1,Recenter,0.0,align_z_score,0.28596328831874684,0.9058673376345845,5734
2,Recenter,0.0,align_recenter,0.0034562595127829135,0.9999883015189569,5734
3,Recenter,0.0,align_recenter_rescale,0.0034562595127602186,0.999988301518957,5734
4,Recenter,0.0,align_procrustes,0.2510565907948739,0.9319985937210327,5734
5,Recenter,0.0,align_procrustes_paired,0.0034562595127613453,0.999988301518957,5734
6,Recenter,0.0,dummy,1.0,-2.168145187031456e-05,5734
7,Recenter,0.5,no_alignment,1.3712669298498994,-0.6610018243042395,5734
8,Recenter,0.5,align_z_score,2.7228022819047752,-4.043063097943063,5734
9,Recenter,0.5,align_recenter,0.02841498592177509,0.9973851264302196,5734
10,Recenter,0.5,align_recenter_rescale,0.0068421600307451876,0.9999509402235505,5734
11,Recenter,0.5,align_procrustes,0.25105659079483206,0.9319985937210127,5734
12,Recenter,0.5,align_procrustes_paired,0.0034562595127641095,0.999988301518957,5734
13,Recenter,0.5,dummy,1.0,-2.168145187031456e-05,5734
14,Recenter,1.0,no_alignment,2.341609462256341,-3.2981371564743096,5734
15,Recenter,1.0,align_z_score,5.606403879769379,-19.985022975089667,5734
16,Recenter,1.0,align_recenter,0.07417484167339713,0.9878227550867255,5734
17,Recenter,1.0,align_recenter_rescale,0.016698558978523032,0.9996903735069966,5734
18,Recenter,1.0,align_procrustes,0.25105659079529863,0.9319985937207499,5734
19,Recenter,1.0,align_procrustes_paired,0.003456259512776563,0.999988301518957,5734
20,Recenter,1.0,dummy,1.0,-2.168145187031456e-05,5734
21,Recenter,1.5,no_alignment,3.086359606812871,-6.003155928553596,5734
22,Recenter,1.5,align_z_score,8.567316270202642,-47.651010634626715,5734
23,Recenter,1.5,align_recenter,0.12325568595273537,0.9725498351356252,5734
24,Recenter,1.5,align_recenter_rescale,0.031513078933030236,0.9988699202241434,5734
25,Recenter,1.5,align_procrustes,0.2510565907954579,0.9319985937206762,5734
26,Recenter,1.5,align_procrustes_paired,0.003456259512778449,0.999988301518957,5734
27,Recenter,1.5,dummy,1.0,-2.168145187031456e-05,5734
28,Recenter,2.0,no_alignment,3.6796304665132653,-8.607403820646683,5734
29,Recenter,2.0,align_z_score,11.460250690870692,-85.61688277809428,5734
30,Recenter,2.0,align_recenter,0.1700729748190622,0.9536734030400096,5734
31,Recenter,2.0,align_recenter_rescale,0.04963058709290589,0.9971654760089322,5734
32,Recenter,2.0,align_procrustes,0.25105659079620335,0.9319985937203534,5734
33,Recenter,2.0,align_procrustes_paired,0.00345625951276992,0.999988301518957,5734
34,Recenter,2.0,dummy,1.0,-2.168145187031456e-05,5734
0,Recenter,0.0,no_alignment,0.003424953603790894,0.9999883381233882,6265
1,Recenter,0.0,align_z_score,0.36674103050824747,0.8523670668018042,6265
2,Recenter,0.0,align_recenter,0.0034249536037961738,0.9999883381233882,6265
3,Recenter,0.0,align_recenter_rescale,0.0034249536038087366,0.999988338123388,6265
4,Recenter,0.0,align_procrustes,0.16297702365215425,0.9748461853306502,6265
5,Recenter,0.0,align_procrustes_paired,0.0034249536038104228,0.999988338123388,6265
6,Recenter,0.0,dummy,1.0,-0.007634113605083259,6265
7,Recenter,0.5,no_alignment,0.9628977461504631,0.19513957357872125,6265
8,Recenter,0.5,align_z_score,1.21971461622623,-0.30279915829887916,6265
9,Recenter,0.5,align_recenter,0.03892088342798815,0.9941116812812418,6265
10,Recenter,0.5,align_recenter_rescale,0.006949216817525642,0.9999477683417645,6265
11,Recenter,0.5,align_procrustes,0.16297702365167502,0.9748461853308303,6265
12,Recenter,0.5,align_procrustes_paired,0.003424953603771253,0.9999883381233884,6265
13,Recenter,0.5,dummy,1.0,-0.007634113605083259,6265
14,Recenter,1.0,no_alignment,2.066399910367901,-2.1252447668217336,6265
15,Recenter,1.0,align_z_score,2.298927462636718,-3.3841753716817253,6265
16,Recenter,1.0,align_recenter,0.099556035597514,0.9731406091662032,6265
17,Recenter,1.0,align_recenter_rescale,0.01785087321033429,0.9996308182758902,6265
18,Recenter,1.0,align_procrustes,0.1629770236512784,0.9748461853309566,6265
19,Recenter,1.0,align_procrustes_paired,0.0034249536037628567,0.9999883381233885,6265
