,method,mae,r2,random_state
9,dummy,20.079812206572768,-0.06349803322437886,10627
0,no_alignment,12.25376116004561,0.4851093917052116,8792
1,dummy,20.76525821596244,-0.08929635856750706,8792
2,align_z_score,13.740905756407303,0.3924557632760416,8792
3,dummy,20.76525821596244,-0.08929635856750706,8792
4,align_recenter,13.827799648595429,0.40084134901116153,8792
5,dummy,20.76525821596244,-0.08929635856750706,8792
6,align_recenter_rescale,12.306379756573733,0.46814549286799134,8792
7,dummy,20.76525821596244,-0.08929635856750706,8792
8,align_procrustes,17.193720549864256,0.05709381844494177,8792
9,dummy,20.76525821596244,-0.08929635856750706,8792
0,no_alignment,15.096793711336474,0.2759122059918885,73969
1,dummy,20.422535211267604,-0.06598294182553888,73969
2,align_z_score,14.488418081952021,0.3247723553143388,73969
3,dummy,20.422535211267604,-0.06598294182553888,73969
4,align_recenter,15.27873655100975,0.2887221521545026,73969
5,dummy,20.422535211267604,-0.06598294182553888,73969
6,align_recenter_rescale,13.67267017652897,0.4005999542237547,73969
7,dummy,20.422535211267604,-0.06598294182553888,73969
8,align_procrustes,17.813038123823944,-0.038400284198985,73969
9,dummy,20.422535211267604,-0.06598294182553888,73969
0,no_alignment,14.440432061089208,0.3227827572366748,43001
1,dummy,20.422535211267604,-0.0800479929583977,43001
2,align_z_score,13.231836013873792,0.4203298787806463,43001
3,dummy,20.422535211267604,-0.0800479929583977,43001
4,align_recenter,14.755702108657367,0.2960982075499271,43001
5,dummy,20.422535211267604,-0.0800479929583977,43001
6,align_recenter_rescale,12.615804337417174,0.4589783163522002,43001
7,dummy,20.422535211267604,-0.0800479929583977,43001
8,align_procrustes,18.75644789801152,-0.10283737488136202,43001
9,dummy,20.422535211267604,-0.0800479929583977,43001
0,no_alignment,14.617838923476684,0.271383843911126,76552
1,dummy,20.079812206572768,-0.04886256386571186,76552
2,align_z_score,17.865064197477995,-0.03157070161486919,76552
3,dummy,20.079812206572768,-0.04886256386571186,76552
4,align_recenter,14.984355146833726,0.28802149374333674,76552
5,dummy,20.079812206572768,-0.04886256386571186,76552
6,align_recenter_rescale,11.75187723088749,0.5086295945346916,76552
7,dummy,20.079812206572768,-0.04886256386571186,76552
8,align_procrustes,17.584465440281093,-0.09271609871435671,76552
9,dummy,20.079812206572768,-0.04886256386571186,76552
0,no_alignment,16.087939437945728,0.17732829427552943,23897
1,dummy,20.422535211267604,-0.053374503524166395,23897
2,align_z_score,14.609275543790954,0.34485849097196575,23897
3,dummy,20.422535211267604,-0.053374503524166395,23897
4,align_recenter,14.720933336001247,0.3110690237641167,23897
5,dummy,20.422535211267604,-0.053374503524166395,23897
6,align_recenter_rescale,13.10621012587019,0.43297363081916496,23897
7,dummy,20.422535211267604,-0.053374503524166395,23897
8,align_procrustes,18.54559144775656,-0.059775347344365626,23897
9,dummy,20.422535211267604,-0.053374503524166395,23897
0,no_alignment,14.376957114277301,0.32815244712254754,68148
1,dummy,20.422535211267604,-0.05604219982596659,68148
2,align_z_score,14.283186363804413,0.3731261069095979,68148
3,dummy,20.422535211267604,-0.05604219982596659,68148
4,align_recenter,14.821004722259213,0.29740801330301425,68148
5,dummy,20.422535211267604,-0.05604219982596659,68148
6,align_recenter_rescale,12.941476235328686,0.4268216815846839,68148
7,dummy,20.422535211267604,-0.05604219982596659,68148
8,align_procrustes,17.47444976231777,0.05590804218958312,68148
9,dummy,20.422535211267604,-0.05604219982596659,68148
0,no_alignment,12.552877153220424,0.4586097809814653,23483
1,dummy,20.079812206572768,-0.055604272662459486,23483
2,align_z_score,13.095804376703251,0.34644267145297847,23483
3,dummy,20.079812206572768,-0.055604272662459486,23483
4,align_recenter,14.590806388496548,0.30657628008374815,23483
5,dummy,20.079812206572768,-0.055604272662459486,23483
6,align_recenter_rescale,12.546145805859561,0.47143211897060244,23483
7,dummy,20.079812206572768,-0.055604272662459486,23483
8,align_procrustes,17.83798685598789,0.033223088487511876,23483
9,dummy,20.079812206572768,-0.055604272662459486,23483
0,no_alignment,14.79922170137533,0.26606428478139044,48555
1,dummy,20.079812206572768,-0.04939981556883177,48555
2,align_z_score,13.441655208126237,0.39536459100428656,48555
3,dummy,20.079812206572768,-0.04939981556883177,48555
4,align_recenter,14.410921603363974,0.3360568534446964,48555
5,dummy,20.079812206572768,-0.04939981556883177,48555
6,align_recenter_rescale,11.484602455126502,0.5222823433199084,48555
7,dummy,20.079812206572768,-0.04939981556883177,48555
8,align_procrustes,17.309886301633135,0.06274617448807263,48555
9,dummy,20.079812206572768,-0.04939981556883177,48555
0,no_alignment,16.59688622486243,0.027249901205816274,17159
1,dummy,20.422535211267604,-0.08175120343124553,17159
2,align_z_score,13.168547216316503,0.4208136914218137,17159
3,dummy,20.422535211267604,-0.08175120343124553,17159
4,align_recenter,14.893775091129594,0.30770113893483575,17159
5,dummy,20.422535211267604,-0.08175120343124553,17159
6,align_recenter_rescale,12.894145801125203,0.4199537175259961,17159
7,dummy,20.422535211267604,-0.08175120343124553,17159
8,align_procrustes,18.380198393465108,-0.0205138058236074,17159
9,dummy,20.422535211267604,-0.08175120343124553,17159
0,no_alignment,15.102544483251405,0.23227284550895932,80077
1,dummy,20.422535211267604,-0.06330058343273337,80077
2,align_z_score,12.496220097847612,0.4487302769567336,80077
3,dummy,20.422535211267604,-0.06330058343273337,80077
4,align_recenter,14.524367909258155,0.30848733677039475,80077
5,dummy,20.422535211267604,-0.06330058343273337,80077
6,align_recenter_rescale,11.84756507263482,0.5139578633631907,80077
7,dummy,20.422535211267604,-0.06330058343273337,80077
8,align_procrustes,19.046249845473305,-0.16815375904200347,80077
9,dummy,20.422535211267604,-0.06330058343273337,80077
0,no_alignment,13.180000804629104,0.3851075181715088,35920
1,dummy,20.422535211267604,-0.07409205706541733,35920
2,align_z_score,13.865525000990175,0.36289107494343475,35920
3,dummy,20.422535211267604,-0.07409205706541733,35920
4,align_recenter,14.301080171983937,0.3411775819539934,35920
5,dummy,20.422535211267604,-0.07409205706541733,35920
6,align_recenter_rescale,12.53861197559957,0.45971898082296825,35920
7,dummy,20.422535211267604,-0.07409205706541733,35920
8,align_procrustes,18.03447981590831,-0.0328747198053736,35920
9,dummy,20.422535211267604,-0.07409205706541733,35920
0,no_alignment,15.730995343285487,0.202468960898749,92067
1,dummy,20.079812206572768,-0.059138449435937046,92067
2,align_z_score,16.127964055879985,0.17357426045072166,92067
