,method,mae,r2,random_state
6,align_recenter_rescale,12.154180442468514,0.45671402189654886,5311
7,dummy,20.422535211267604,-0.07376254377049363,5311
8,align_procrustes,18.339984462053295,-0.11516638727501127,5311
9,dummy,20.422535211267604,-0.07376254377049363,5311
0,no_alignment,13.711947241966579,0.3431069146137695,83104
1,dummy,20.76525821596244,-0.10347355306539585,83104
2,align_z_score,19.951177634981118,-0.30612604315186975,83104
3,dummy,20.76525821596244,-0.10347355306539585,83104
4,align_recenter,12.576647488504632,0.4171497904321344,83104
5,dummy,20.76525821596244,-0.10347355306539585,83104
6,align_recenter_rescale,11.739639098930306,0.476609374693568,83104
7,dummy,20.76525821596244,-0.10347355306539585,83104
8,align_procrustes,18.573335645327315,-0.15201665465485847,83104
9,dummy,20.76525821596244,-0.10347355306539585,83104
0,no_alignment,13.386318083191789,0.337145292666595,53707
1,dummy,20.079812206572768,-0.049764916204765086,53707
2,align_z_score,16.798355730383623,0.036598800574888624,53707
3,dummy,20.079812206572768,-0.049764916204765086,53707
4,align_recenter,12.322447749119616,0.40954852497638106,53707
5,dummy,20.079812206572768,-0.049764916204765086,53707
6,align_recenter_rescale,11.69528210725166,0.46160508097940756,53707
7,dummy,20.079812206572768,-0.049764916204765086,53707
8,align_procrustes,19.41249408774863,-0.3145963044146636,53707
9,dummy,20.079812206572768,-0.049764916204765086,53707
0,no_alignment,14.319651004555885,0.14368804791529843,85305
1,dummy,20.422535211267604,-0.06935782551093861,85305
2,align_z_score,18.66832109757501,-0.20150470228011264,85305
3,dummy,20.422535211267604,-0.06935782551093861,85305
4,align_recenter,13.314267201552644,0.2923331181197315,85305
5,dummy,20.422535211267604,-0.06935782551093861,85305
6,align_recenter_rescale,12.981825149211682,0.32597595999381734,85305
7,dummy,20.422535211267604,-0.06935782551093861,85305
8,align_procrustes,19.079110522608143,-0.2083395059646218,85305
9,dummy,20.422535211267604,-0.06935782551093861,85305
0,no_alignment,15.182633448758637,0.20294305013854608,28693
1,dummy,20.422535211267604,-0.06975265142158515,28693
2,align_z_score,20.39383075590017,-0.3689283332278315,28693
3,dummy,20.422535211267604,-0.06975265142158515,28693
4,align_recenter,11.944852685352872,0.4891730702985838,28693
5,dummy,20.422535211267604,-0.06975265142158515,28693
6,align_recenter_rescale,11.556582998279904,0.5011621827049783,28693
7,dummy,20.422535211267604,-0.06975265142158515,28693
8,align_procrustes,18.871336519371113,-0.1415600391667402,28693
9,dummy,20.422535211267604,-0.06975265142158515,28693
0,no_alignment,13.041306982873309,0.3569643898593876,71932
1,dummy,20.422535211267604,-0.07197290970241244,71932
2,align_z_score,18.181016761594925,-0.11805441521183924,71932
3,dummy,20.422535211267604,-0.07197290970241244,71932
4,align_recenter,12.652064987670615,0.4182783599807294,71932
5,dummy,20.422535211267604,-0.07197290970241244,71932
6,align_recenter_rescale,13.047979689043594,0.33140173921100624,71932
7,dummy,20.422535211267604,-0.07197290970241244,71932
8,align_procrustes,19.63632281854346,-0.3307860986130837,71932
9,dummy,20.422535211267604,-0.07197290970241244,71932
0,no_alignment,15.34248616411156,0.1938565841690697,93016
1,dummy,20.76525821596244,-0.08600402560823706,93016
2,align_z_score,18.128785870382348,-0.13478624481743862,93016
3,dummy,20.76525821596244,-0.08600402560823706,93016
4,align_recenter,12.875150831176532,0.4174368797513619,93016
5,dummy,20.76525821596244,-0.08600402560823706,93016
6,align_recenter_rescale,12.5715357472598,0.4239240081206934,93016
7,dummy,20.76525821596244,-0.08600402560823706,93016
8,align_procrustes,19.08299937073871,-0.15542419533577623,93016
9,dummy,20.76525821596244,-0.08600402560823706,93016
0,no_alignment,12.62705753188985,0.44123951136808914,25658
1,dummy,20.76525821596244,-0.08596221769770995,25658
2,align_z_score,16.26929815354903,0.0955249453057947,25658
3,dummy,20.76525821596244,-0.08596221769770995,25658
4,align_recenter,11.810099077868914,0.4981137942998103,25658
5,dummy,20.76525821596244,-0.08596221769770995,25658
6,align_recenter_rescale,11.596151429206792,0.498331232953629,25658
7,dummy,20.76525821596244,-0.08596221769770995,25658
8,align_procrustes,17.970123110382833,-0.03559071232697386,25658
9,dummy,20.76525821596244,-0.08596221769770995,25658
0,no_alignment,15.339791611606945,0.19428343720591656,84478
1,dummy,20.422535211267604,-0.06044581990322273,84478
2,align_z_score,16.87776514567678,0.024977584016227183,84478
3,dummy,20.422535211267604,-0.06044581990322273,84478
4,align_recenter,13.031480604640196,0.42041081260017543,84478
5,dummy,20.422535211267604,-0.06044581990322273,84478
6,align_recenter_rescale,12.822996938889489,0.41108043804750083,84478
7,dummy,20.422535211267604,-0.06044581990322273,84478
8,align_procrustes,17.173680264375548,-0.0027971672929885116,84478
9,dummy,20.422535211267604,-0.06044581990322273,84478
0,no_alignment,16.573303510309128,0.008979886795262737,18431
1,dummy,20.76525821596244,-0.09593401317328198,18431
2,align_z_score,18.20921400956269,-0.15907179108206804,18431
3,dummy,20.76525821596244,-0.09593401317328198,18431
4,align_recenter,12.652428900388418,0.371229963734367,18431
5,dummy,20.76525821596244,-0.09593401317328198,18431
6,align_recenter_rescale,12.599078881338615,0.37321659667911555,18431
7,dummy,20.76525821596244,-0.09593401317328198,18431
8,align_procrustes,18.31226943993116,-0.06961038472445646,18431
9,dummy,20.76525821596244,-0.09593401317328198,18431
0,no_alignment,12.910984280268499,0.38853101662075484,2747
1,dummy,20.422535211267604,-0.05734921451003139,2747
2,align_z_score,16.433444451358252,0.08260875845877591,2747
3,dummy,20.422535211267604,-0.05734921451003139,2747
4,align_recenter,12.417178550586073,0.42210688539140784,2747
5,dummy,20.422535211267604,-0.05734921451003139,2747
6,align_recenter_rescale,12.38974558087781,0.41536713342553633,2747
7,dummy,20.422535211267604,-0.05734921451003139,2747
8,align_procrustes,16.357622647928917,0.049822607952138886,2747
9,dummy,20.422535211267604,-0.05734921451003139,2747
0,no_alignment,12.081250869188183,0.485706863514321,59150
1,dummy,20.422535211267604,-0.06396595497843571,59150
2,align_z_score,16.40502123452765,0.06882251872239609,59150
3,dummy,20.422535211267604,-0.06396595497843571,59150
4,align_recenter,11.86875512801325,0.4995629943031751,59150
5,dummy,20.422535211267604,-0.06396595497843571,59150
6,align_recenter_rescale,11.679914360225991,0.5133533275155524,59150
7,dummy,20.422535211267604,-0.06396595497843571,59150
8,align_procrustes,16.76492884601679,0.014211765130129228,59150
9,dummy,20.422535211267604,-0.06396595497843571,59150
0,no_alignment,12.955086303069798,0.37455561407326243,65725
1,dummy,20.422535211267604,-0.08334881038653164,65725
2,align_z_score,16.2119899122327,0.08002376020806579,65725
